"#","Cluster","Slug","Title_KA","Title_RU","Title_EN","Primary_HF","GSC_signal","Priority"
"1","POL","polish-cream-diy-vs-studio","მანქანის პოლირების კრემი — მუშაობს თუ არა?","Полироль для автомобиля — работает ли самостоятельно или нужна студия","Car polish cream — DIY vs professional studio","полировка салона авто, полироль","KA `მანქანის პოლირების კრემი` 1424/0","P1"
"2","POL","interior-plastic-polish","სალონის პლასტმასის პოლირება — მატი თუ გლოსი?","Полировка пластика салона автомобиля — гайд","Car interior plastic polish guide","полировка пластика салона автомобиля","RU 550/0","P1"
"3","POL","salon-polish-interior-detail","სალონის გაპრიალება BESTAUTO-ში","Полировка салона авто — что входит в услугу","Car interior polishing — what's included","полировка салона авто","RU 765/2","P1"
"4","POL","steam-headlight-polishing","ფარების პოლირება ორთქლით vs აბრაზიული","Полировка фар паром vs абразивная","Steam headlight polishing vs abrasive","полировка фар автомобиля","RU 648/0; competitor autoqimwmenda.ge","P1"
"5","POL","polishing-after-body-repair-guide","პოლირება სხეულის შეკეთების შემდეგ — სრული გზამკვლევი","Полировка после кузовного ремонта — как правильно","How to polish a car after body repair","полировка после ремонта","EN `how to polish a car after body repair` 412/0","P1"
"6","POL","polishing-old-cars-worth-it","ღირს თუ არა ძველი მანქანის პოლირება?","Стоит ли полировать старый автомобиль?","Is polishing an old car worth it?","полировка кузова автомобиля","competitor autoqimwmenda.ge","P2"
"7","POL","pre-sale-polishing-resale-value","პოლირება გაყიდვისთვის — მეტი ფული","Полировка перед продажей — как повышает цену","Pre-sale car polishing for resale value","полировка авто цена","competitor priala.ge; semantic core #18","P2"
"8","POL","abrasive-polishing-deep-dive","აბრაზიული პოლირება — როდის აუცილებელი და რა რისკებია","Абразивная полировка — что это и когда нужна","Abrasive polishing — when it's needed and risks","абразивная полировка","dict HF, low vol/commercial","P2"
"9","POL","polish-vs-wax-vs-ceramic-beginners","ვოსკი, პოლირება თუ კერამიკა — ახალმოსულთათვის","Воск, полировка или керамика — для новичков","Wax vs polish vs ceramic — beginner's guide","полировка авто, керамическое покрытие","general educational gap","P2"
"10","POL","mountain-trip-polish-check","მთაში მგზავრობის შემდეგ პოლირება (ყაზბეგი, სვანეთი)","После горной поездки — полировка и проверка кузова","Mountain trip polishing — after Kazbegi/Svaneti","полировка кузова после царапин","market-specific; geo","P3"
"11","POL","polish-finish-types-matt-gloss-satin","მატი vs გლოსი vs სატინ — რომელი გინდა?","Матовая, глянцевая или сатиновая полировка","Matt vs gloss vs satin polish finishes","полировка лкп","dict HF expansion","P3"
"12","POL","polishing-how-often-myth-bust","რამდენად ხშირად ღირს პოლირება — მითების დემონტაჟი","Как часто полировать машину — разбор мифов","How often to polish a car — myths debunked","как часто полировать машину","follow-up к existing `how-often-polish-car`","P3"
"13","POL","headlight-polish-vs-replace","ფარების პოლირება თუ შეცვლა?","Полировка фар или замена?","Headlight polishing vs replacement","полировка фар","RU 233/0","P2"
"14","POL","scratch-polish-guide","კორპუსის ნაკაწრების პოლირება — რა მუშაობს","Как убрать царапины полировкой — по глубине","Scratch removal with polishing — by depth","полировка кузова автомобиля, царапины","semantic-core depth topic","P2"
"15","CER","ceramic-polishing-combo","კერამიკული პოლირება + საფარი — რატომ ერთად?","Керамическая полировка + покрытие — пакетная услуга","Ceramic polish + coating combo package","керамическое покрытие, керамическая полировка","KA `კერამიკული პოლირება` 39cl/1077imp; competitor","P1"
"16","CER","interior-ceramic-detail","სალონის კერამიკული დაცვა — ტყავი, პლასტიკი, ქსოვილი","Керамика салона — кожа, пластик, ткань","Interior ceramic protection — leather, plastic, fabric","керамика салона, дезинфекция салона авто","RU 172/0","P1"
"17","CER","hydrophobic-windshield-coating","ანტი-წვიმის საფარი საქარე მინაზე","Антидождь на лобовом стекле — керамика","Hydrophobic windshield coating (anti-rain)","керамика на лобовое стекло","detailing-ge.com FAQ","P2"
"18","CER","ceramic-application-cost-breakdown","კერამიკული საფარის გამოყენების ღირებულება — 4 ფაქტორი","Из чего складывается цена керамического покрытия — 4 фактора","Ceramic coating cost breakdown — 4 price drivers","нанесение керамики, керамическое покрытие цена","RU 120/0","P2"
"19","CER","ceramic-prep-paint-correction","კერამიკის მომზადება — პოლირებით vs ცივად გასწორებით","Подготовка под керамику — полировка vs выправление","Ceramic prep — polishing vs paint correction","подготовка кузова под керамику","educational gap","P2"
"20","CER","ceramic-over-ppf-layered","კერამიკა PPF-ზე — ორმაგი დაცვა","Керамика поверх PPF — двойная защита","Ceramic over PPF — layered protection","ceramic + PPF layered","competitor synthesis","P2"
"21","CER","ceramic-product-lines-compared","კერამიკული ხაზების შედარება (9H, SiO2, SiC)","Сравнение линеек керамики — 9H, SiO2, SiC","Ceramic product lines compared (9H, SiO2, SiC)","техническое сравнение","competitor autoqimwmenda.ge angle","P3"
"22","CER","ceramic-tbilisi-climate","კერამიკა თბილისის კლიმატში — ზაფხული/ზამთარი","Керамика в тбилисском климате — лето и зима","Ceramic coating in Tbilisi climate — seasons","керамическое покрытие, погода","seasonal gap","P3"
"23","CER","ceramic-5-year-tco","კერამიკა — 5 წლის ხარჯების ანალიზი","Керамика — стоимость владения 5 лет","Ceramic coating 5-year TCO","ceramic coating cost","TCO/commercial","P3"
"24","CER","maintenance-wash-ceramic","როგორ ვრეცხოთ კერამიკული საფარიანი ავტომობილი","Как правильно мыть машину с керамикой","How to wash a ceramic-coated car","мойка авто с керамикой","existing maintenance covers basics, this = service-specific","P2"
"25","CER","ceramic-vs-wax-vs-sealant","კერამიკა vs ცვილი vs სინთ. სილანტი","Керамика, воск или синтетический силант","Ceramic vs wax vs synthetic sealant","защита кузова","umbrella comparison","P2"
"26","PPF","what-is-ppf-explainer","რა არის PPF — სრული ახსნა","Что такое PPF плёнка — подробный гайд","What is PPF — complete explainer","ppf это, ppf плёнка","RU `что такое PPF` 368/4 + `ppf это` 1268/2 + `ппф это` 658/1","P1"
"27","PPF","ppf-full-body-wrapping-guide","სრული ძარის PPF გადაკვრა — რისი მოლოდინი","Полная оклейка кузова PPF плёнкой — гайд","Full body PPF wrapping — what to expect","обтяжка ppf плёнкой, ppf wrapping","RU `обтяжка PPF плёнкой` 705/0; EN `ppf wrapping` 1104/0","P1"
"28","PPF","ppf-vs-ceramic-vs-vinyl","PPF vs კერამიკა vs ვინილი — სამმხრივი შედარება","PPF, керамика или винил — тройное сравнение","PPF vs ceramic vs vinyl — 3-way comparison","ppf или керамика","competitor synthesis; covered partially by existing `top-5-car-paint-protection`","P1"
"29","PPF","ppf-protection-levels-partial-full","PPF პაკეტები — წინა, ძარის ნაწილი, სრული","Варианты PPF — капот, полкорпуса, полный","PPF packages — hood / half / full","оклейка защитной пленкой авто","RU 329/0","P1"
"30","PPF","ppf-self-healing-explained","თვით-აღდგენადი PPF — როგორ მუშაობს UV-ზე","Самовосстанавливающееся PPF — физика эффекта","PPF self-healing — how it works under UV","самовосстановление плёнки","technical gap","P2"
"31","PPF","ppf-for-new-cars-checklist","ახალი მანქანისთვის PPF — საიდან დაიწყო","Для новой машины — какой PPF выбрать","New-car PPF installation checklist","ppf для новой машины","existing `new-car-detailing` umbrella, this = PPF-specific","P2"
"32","PPF","ppf-matte-satin-finish-options","მატი და სატინ PPF — ფერის შეცვლის გარეშე ვიზუალი","Матовая и сатиновая PPF — визуал без оклейки цветом","Matte & satin PPF finishes","матовая плёнка","dict HF long-tail","P2"
